station,valid,tmpf,tmpc,dwpf,dwpc,relh,feel,sknt,mslp,p01m,p01i,gust,skyc1,skyl1,romps_LCL_m,lcl_estimate
HEY,2023-07-01 00:11,87.8,31.0,71.6,22.0,58.78,94.18,0.0,1013.0,0.0,0.0,,CLR,,1159.2162679151754,1125.0
SXS,2023-07-01 00:12,87.8,31.0,71.6,22.0,58.78,94.18,0.0,1013.6,0.0,0.0,,CLR,,1159.2058473757734,1125.0
HUA,2023-07-01 00:14,89.6,32.0,77.0,25.0,66.55,102.54,5.0,1013.9,0.0,0.0,,FEW,4700.0,908.4798674122615,875.0
LOR,2023-07-01 00:18,87.8,31.0,71.6,22.0,58.78,94.18,0.0,1012.0,0.0,0.0,,CLR,,1159.233663222384,1125.0
OZR,2023-07-01 00:20,89.6,32.0,69.8,21.0,52.23,94.85,0.0,1013.8,0.0,0.0,,CLR,,1412.577238056329,1375.0
HUA,2023-07-01 00:25,89.6,32.0,77.0,25.0,66.55,102.54,5.0,1013.9,0.0,0.0,,FEW,4700.0,908.4798674122615,875.0
TOI,2023-07-01 00:53,87.0,30.56,75.0,23.89,67.39,96.56,4.0,1013.7,0.0,0.0,,CLR,,869.9183441571678,833.7499999999998
DHN,2023-07-01 00:53,88.0,31.11,66.0,18.89,48.2,90.41,0.0,1014.8,0.0,0.0,,CLR,,1561.9800780913006,1527.4999999999998
DCU,2023-07-01 00:53,90.0,32.22,73.0,22.78,57.49,98.3,5.0,1013.9,0.0,0.0,,CLR,,1218.3164984413374,1179.9999999999998
ANB,2023-07-01 00:53,81.0,27.22,72.0,22.22,74.15,85.35,4.0,1014.2,0.0,0.0,,CLR,,645.4259026623785,625.0
MGM,2023-07-01 00:53,83.0,28.33,77.0,25.0,82.43,91.81,3.0,1013.9,0.0,0.0,,CLR,,426.16074760798296,416.2499999999998
TCL,2023-07-01 00:53,86.0,30.0,79.0,26.11,79.7,99.65,3.0,1014.1,0.0,0.0,,CLR,,506.62926563556437,486.25000000000006
BHM,2023-07-01 00:53,93.0,33.89,71.0,21.67,49.09,100.13,10.0,1014.2,0.0,0.0,,FEW,15000.0,1563.8940521978175,1527.4999999999998
BFM,2023-07-01 00:53,88.0,31.11,71.0,21.67,57.43,94.0,5.0,1015.2,0.0,0.0,,CLR,,1208.1736397705336,1179.9999999999998
MSL,2023-07-01 00:53,91.0,32.78,74.0,23.33,57.43,100.56,5.0,1013.6,0.0,0.0,,CLR,,1226.7465137130164,1181.2500000000005
HSV,2023-07-01 00:53,89.0,31.67,78.0,25.56,70.12,103.36,3.0,1013.8,0.0,0.0,,FEW,5500.0,793.9672874412718,763.7500000000003
EET,2023-07-01 00:53,89.0,31.67,74.0,23.33,60.97,98.09,3.0,1013.9,0.0,0.0,,CLR,,1090.2098637184993,1042.5000000000005
GZH,2023-07-01 00:53,83.0,28.33,78.0,25.56,85.48,92.84,0.0,1014.4,0.0,0.0,,CLR,,347.4012293896664,346.24999999999994
OZR,2023-07-01 00:55,83.5,28.61,72.7,22.61,70.01,89.42,3.0,1013.8,0.0,0.0,,CLR,,774.8097977583656,750.0
LOR,2023-07-01 00:55,83.0,28.33,74.3,23.5,74.84,89.97,0.0,1012.0,0.0,0.0,,CLR,,632.6291916150105,603.7499999999998
HEY,2023-07-01 00:55,85.5,29.72,71.4,21.89,62.82,91.14,0.0,1013.0,0.0,0.0,,CLR,,1009.3021594809766,978.7499999999998
HUA,2023-07-01 00:55,88.3,31.28,77.7,25.39,70.97,101.6,4.0,1013.9,0.0001,0.0001,,BKN,4400.0,765.2091856003093,736.2500000000001
SXS,2023-07-01 00:55,83.5,28.61,72.0,22.22,68.61,89.01,0.0,1013.3,0.0,0.0,,CLR,,816.9882549828653,798.7500000000001
MXF,2023-07-01 00:55,85.0,29.44,72.0,22.22,65.58,90.89,0.0,1013.3,0.0,0.0,,CLR,,917.6770340830155,902.5000000000003
MOB,2023-07-01 00:56,87.0,30.56,72.0,22.22,60.92,93.65,4.0,1014.8,0.0,0.0,,FEW,25000.0,1080.8325638472943,1042.5
EKY,2023-07-01 00:56,87.0,30.56,75.0,23.89,67.39,96.56,4.0,1000.0,0.0,0.0,,CLR,,870.1209461528465,833.7499999999998
GAD,2023-07-01 00:56,84.0,28.89,78.0,25.56,82.5,94.94,0.0,1015.1,0.0,0.0,,FEW,7500.0,426.6010518183673,416.2500000000002
1M4,2023-07-01 00:56,87.0,30.56,78.0,25.56,74.7,100.28,6.0,1014.6,0.0,0.0,,CLR,,650.115513252957,625.0
PRN,2023-07-01 00:58,83.0,28.33,75.0,23.89,77.12,90.18,0.0,1009.3,0.0,0.0,,CLR,,568.9640562267638,554.9999999999998
EUF,2023-07-01 00:58,77.0,25.0,69.0,20.56,76.62,77.0,0.0,1015.2,0.0,0.0,,CLR,,564.7850646745995,555.0000000000001
